Time (ms),Neuron Index
50.760000000000005,0
50.760000000000005,1
50.760000000000005,2
50.760000000000005,3
50.760000000000005,4
50.760000000000005,5
50.760000000000005,6
50.760000000000005,7
50.760000000000005,8
50.760000000000005,9
61.75000000000001,0
61.75000000000001,1
61.75000000000001,2
61.75000000000001,3
61.75000000000001,4
61.75000000000001,5
61.75000000000001,6
61.75000000000001,7
61.75000000000001,8
61.75000000000001,9
72.22,0
72.22,1
72.22,2
72.22,3
72.22,4
72.22,5
72.22,6
72.22,7
72.22,8
72.22,9
82.65,0
82.65,1
82.65,2
82.65,3
82.65,4
82.65,5
82.65,6
82.65,7
82.65,8
82.65,9
93.08000000000001,0
93.08000000000001,1
93.08000000000001,2
93.08000000000001,3
93.08000000000001,4
93.08000000000001,5
93.08000000000001,6
93.08000000000001,7
93.08000000000001,8
93.08000000000001,9
